iter	MultiClass
0	1.300366177
1	1.233365673
2	1.180424523
3	1.137324617
4	1.100582451
5	1.068551615
6	1.041754157
7	1.019242205
8	1.00110394
9	0.9832861778
10	0.9681381596
11	0.954491838
12	0.9427352773
13	0.9322884498
14	0.9223361001
15	0.9144186535
16	0.9067702067
17	0.9000026919
18	0.8933645767
19	0.8875039931
20	0.8818768186
21	0.8767597552
22	0.8721843041
23	0.8681948675
24	0.8643024459
25	0.8621086355
26	0.858453918
27	0.8555308905
28	0.8527081417
29	0.8498939001
30	0.8476331751
31	0.8446916334
32	0.8424578363
33	0.8404882929
34	0.8383722716
35	0.8364116981
36	0.8345695267
37	0.8320705027
38	0.8301042363
39	0.8288209107
40	0.8272422894
41	0.825663421
42	0.8244627009
43	0.8232478276
44	0.8220066254
45	0.820530987
46	0.8192368641
47	0.8182809551
48	0.8169996559
49	0.8160175739
50	0.8152537488
51	0.8140750125
52	0.8131494011
53	0.8121689389
54	0.8113438675
55	0.8107063604
56	0.8101130875
57	0.809355815
58	0.8087824649
59	0.8079040255
60	0.8069939692
61	0.8063489816
62	0.8055827453
63	0.805025807
64	0.8046172971
65	0.8036548218
66	0.8031214602
67	0.8026721907
68	0.802176344
69	0.8016068241
70	0.8010058729
71	0.8005591251
72	0.8001840698
73	0.7997447588
74	0.7994516868
75	0.7990990006
76	0.7987845058
77	0.7982547115
78	0.7975507467
79	0.7972134253
80	0.7965604886
81	0.7962402039
82	0.7959200508
83	0.7955997849
84	0.7951989887
85	0.7945391524
86	0.7942633396
87	0.7939381554
88	0.7936161727
89	0.7933684828
90	0.7930755876
91	0.7927796226
92	0.7921499474
93	0.7917088827
94	0.791454993
95	0.7911974148
96	0.7907601808
97	0.7902385946
98	0.7900723845
99	0.7896813683
100	0.7892922397
101	0.7886529327
102	0.7884163718
103	0.7881499129
104	0.787736168
105	0.7873195011
106	0.7869171008
107	0.786702883
108	0.7866107135
109	0.7863987605
110	0.7860951578
111	0.785862005
112	0.7856514371
113	0.7853016755
114	0.7849053348
115	0.7845925265
116	0.7842883595
117	0.7839422743
118	0.7836886344
119	0.783107293
120	0.7828253897
121	0.7824766622
122	0.7822644703
123	0.7819762055
124	0.7818163702
125	0.7815780565
126	0.7813117616
127	0.7807609054
128	0.7806488141
129	0.7803958541
130	0.7801851302
131	0.7800056377
132	0.7797857934
133	0.7795972092
134	0.7792005335
135	0.7789317371
136	0.7786836309
137	0.7782907263
138	0.778126109
139	0.7779528416
140	0.7776326882
141	0.7772795896
142	0.7769952837
143	0.7768051907
144	0.7764552014
