iter	Passed	Remaining
0	199	198881
1	241	120399
2	279	92818
3	319	79500
4	358	71332
5	413	68462
6	523	74208
7	564	70046
8	606	66781
9	649	64283
10	684	61566
11	727	59924
12	771	58567
13	823	57978
14	864	56780
15	902	55524
16	946	54739
17	981	53557
18	1014	52400
19	1052	51577
20	1092	50945
21	1138	50632
22	1195	50786
23	1242	50527
24	1277	49824
25	1314	49232
26	1357	48914
27	1394	48405
28	1434	48015
29	1507	48745
30	1558	48701
31	1592	48181
32	1634	47888
33	1672	47530
34	1720	47446
35	1779	47661
36	1818	47319
37	1856	47003
38	1888	46528
39	1928	46274
40	1964	45945
41	2022	46136
42	2074	46163
43	2112	45889
44	2144	45518
45	2182	45268
46	2216	44937
47	2252	44673
48	2384	46274
49	2436	46284
50	2476	46087
51	2516	45868
52	2558	45707
53	2663	46652
54	2705	46485
55	2742	46237
56	2778	45963
57	2817	45766
58	2874	45839
59	2939	46054
60	2987	45989
61	3021	45719
62	3055	45445
63	3086	45139
64	3120	44884
65	3161	44741
66	3211	44719
67	3251	44560
68	3286	44348
69	3321	44134
70	3361	43982
71	3404	43873
72	3448	43793
73	3501	43813
74	3541	43674
75	3575	43470
76	3610	43275
77	3647	43120
78	3688	42999
79	3734	42941
80	3795	43067
81	3837	42962
82	3867	42732
83	3901	42541
84	3934	42351
85	3965	42148
86	4004	42027
87	4042	41892
88	4074	41711
89	4113	41589
90	4157	41527
91	4227	41725
92	4267	41619
93	4302	41464
94	4337	41323
95	4375	41197
96	4419	41139
97	4482	41261
98	4513	41075
99	4548	40938
100	4587	40835
101	4622	40696
102	4654	40533
103	4688	40397
104	4742	40424
105	4809	40561
106	4846	40447
107	4879	40299
108	4909	40131
109	4942	39990
110	4986	39933
111	5022	39819
112	5056	39694
113	5087	39541
114	5122	39422
115	5156	39295
116	5193	39194
117	5226	39064
118	5261	38951
119	5303	38889
120	5340	38794
121	5373	38672
122	5407	38557
123	5462	38592
124	5514	38604
125	5553	38520
126	5590	38426
127	5624	38315
128	5655	38186
129	5689	38077
130	5724	37972
131	5754	37842
132	5790	37745
133	5822	37632
134	5856	37524
135	5891	37430
136	5924	37321
137	5958	37219
138	5991	37112
139	6020	36980
140	6056	36895
141	6095	36829
142	6130	36739
143	6168	36670
144	6214	36645
145	6281	36742
146	6328	36719
147	6364	36641
148	6404	36578
149	6437	36477
150	6480	36434
151	6512	36332
152	6546	36243
153	6579	36143
154	6613	36055
155	6645	35952
156	6678	35860
157	6714	35781
158	6747	35689
159	6796	35680
160	6832	35602
161	6866	35521
162	6896	35414
163	6934	35346
164	6962	35233
165	6993	35135
166	7029	35063
167	7070	35014
168	7105	34936
169	7137	34848
170	7172	34771
171	7207	34696
172	7247	34646
173	7303	34668
174	7340	34605
175	7374	34526
176	7409	34453
177	7453	34419
178	7492	34363
179	7524	34278
180	7559	34204
181	7600	34162
182	7636	34095
183	7673	34028
184	7714	33986
185	7751	33921
186	7787	33857
187	7826	33801
188	7860	33729
189	7898	33672
190	7931	33595
191	7967	33529
192	8001	33456
193	8036	33387
194	8076	33339
195	8109	33264
196	8140	33183
197	8174	33110
198	8210	33048
199	8269	33077
200	8314	33052
201	8348	32980
202	8382	32911
203	8417	32844
204	8453	32784
205	8488	32716
206	8522	32649
207	8558	32589
208	8594	32529
209	8629	32463
210	8664	32401
211	8698	32332
212	8731	32260
213	8772	32219
214	8807	32156
215	8841	32092
216	8881	32046
217	8921	32002
218	8959	31953
219	9000	31909
220	9036	31851
221	9068	31782
222	9106	31729
223	9137	31654
224	9170	31587
225	9204	31522
226	9238	31459
227	9282	31429
228	9318	31372
229	9355	31322
230	9394	31273
231	9433	31226
232	9541	31408
233	9590	31394
234	9631	31354
235	9660	31275
236	9694	31210
237	9734	31165
238	9770	31109
239	9808	31060
240	9844	31003
241	9880	30947
242	9913	30883
243	9948	30825
244	9984	30769
245	10023	30721
246	10055	30656
247	10090	30597
248	10125	30538
249	10154	30463
250	10188	30403
251	10228	30360
252	10266	30313
253	10297	30242
254	10334	30192
255	10369	30135
256	10401	30071
257	10436	30015
258	10470	29955
259	10501	29888
260	10534	29826
261	10570	29773
262	10601	29708
263	10641	29667
264	10674	29607
265	10717	29574
266	10749	29511
267	10787	29463
268	10821	29406
269	10863	29371
270	10901	29326
271	10943	29290
272	10975	29227
273	11002	29151
274	11034	29092
275	11068	29034
276	11103	28980
277	11138	28927
278	11174	28878
279	11216	28841
280	11255	28800
281	11292	28752
282	11333	28714
283	11366	28656
284	11405	28614
285	11437	28554
286	11476	28511
287	11514	28466
288	11550	28416
289	11586	28367
290	11627	28330
291	11661	28274
292	11692	28213
293	11734	28179
294	11779	28150
295	11818	28108
296	11852	28055
297	11892	28015
298	11927	27963
299	11962	27912
300	12014	27901
301	12061	27878
302	12094	27820
303	12136	27785
304	12175	27743
305	12214	27702
306	12268	27694
307	12312	27662
308	12348	27614
309	12392	27584
310	12482	27653
311	12548	27671
312	12594	27642
313	12629	27590
314	12661	27533
315	12700	27491
316	12764	27502
317	12801	27454
318	12833	27397
319	12867	27343
320	12907	27302
321	12941	27249
322	12982	27210
323	13022	27171
324	13059	27122
325	13089	27061
326	13140	27044
327	13191	27026
328	13227	26977
329	13266	26935
330	13302	26885
331	13335	26832
332	13371	26782
333	13426	26773
334	13553	26904
335	13631	26938
336	13690	26933
337	13782	26994
338	13866	27036
339	13910	27002
340	13972	27003
341	14033	26999
342	14075	26961
343	14115	26917
344	14157	26878
345	14209	26857
346	14264	26843
347	14307	26806
348	14340	26750
349	14372	26692
350	14405	26635
351	14440	26583
352	14475	26532
353	14513	26485
354	14553	26442
355	14597	26406
356	14633	26357
357	14684	26332
358	14755	26346
359	14801	26313
360	14836	26262
361	14880	26225
362	14911	26167
363	14950	26122
364	14988	26076
365	15032	26039
366	15069	25992
367	15113	25955
368	15156	25917
369	15199	25879
370	15243	25844
371	15283	25801
372	15324	25760
373	15369	25724
374	15413	25688
375	15447	25637
376	15477	25577
377	15512	25526
378	15558	25493
379	15645	25527
380	15762	25608
381	15909	25738
382	16006	25785
383	16107	25838
384	16146	25792
385	16183	25743
386	16222	25695
387	16266	25657
388	16309	25616
389	16354	25580
390	16407	25555
391	16451	25516
392	16488	25467
393	16534	25431
394	16581	25397
395	16619	25349
396	16653	25294
397	16710	25275
398	16753	25235
399	16794	25191
400	16922	25278
401	16967	25239
402	17013	25203
403	17044	25145
404	17083	25098
405	17138	25075
406	17199	25059
407	17244	25022
408	17278	24967
409	17311	24912
410	17350	24864
411	17398	24831
412	17445	24795
413	17495	24764
414	17531	24712
415	17572	24669
416	17607	24617
417	17638	24559
418	17680	24515
419	17728	24482
